2,1,10
3,1,10
3,2,10
4,1,10
4,2,10
4,3,10
5,1,10
5,3,10
5,4,10
6,3,10
6,5,10
6,4,10
7,3,10
7,4,10
7,4,10
8,6,10
8,2,10
8,5,10
9,7,10
9,2,10
9,6,10
10,9,10
10,4,10
10,3,10
11,8,10
11,5,10
11,3,10
12,9,10
12,6,10
12,9,10
13,9,10
13,8,10
13,6,10
14,7,10
14,3,10
14,11,10
15,3,10
15,11,10
15,7,10
16,5,10
16,2,10
16,6,10
17,3,10
17,8,10
17,7,10
18,6,10
18,8,10
18,10,10
19,18,10
19,8,10
19,4,10
20,14,10
20,10,10
20,11,10
21,15,10
21,7,10
21,9,10
22,14,10
22,2,10
22,14,10
23,1,10
23,5,10
23,6,10
24,14,10
24,19,10
24,5,10
25,4,10
25,18,10
25,1,10
26,4,10
26,21,10
26,18,10
